"ForestTypeGroup","AgeGroup","carbon","carbon_se","TYPGRPCD","cumTDEE","cumTDEE_ubSE","cumTDEE_lbSE","joint_c"
"Douglas-fir",180,196.0420304,22.34103376,200,93.48812945,97.83277946,89.14347945,102.55390095
"Douglas-fir",190,158.4869945,16.56955592,200,97.77364236,102.7324673,92.81481739,60.71335214
"Douglas-fir",200,268.316261,9.626450471,200,98.11585307,101.6746386,94.55706757,170.20040793
"Douglas-fir",NA,27.79656727,2.300182698,200,NA,NA,NA,NA
"Elm / ash / cottonwood",0,18.3894539,1.289002818,700,11.98258373,14.3745567,9.590610766,6.40687017
"Elm / ash / cottonwood",10,28.52688371,3.693447233,700,17.64045248,20.10668777,15.1742172,10.88643123
"Elm / ash / cottonwood",20,31.4913017,1.611167615,700,20.56746934,23.09106155,18.04387714,10.92383236
"Elm / ash / cottonwood",30,41.15857944,2.154880509,700,26.89905509,29.95844972,23.83966047,14.25952435
"Elm / ash / cottonwood",40,48.7306879,2.577479232,700,27.39871389,30.31497015,24.48245763,21.33197401
"Elm / ash / cottonwood",50,57.74839895,1.764545737,700,28.255447,30.80719305,25.70370095,29.49295195
"Elm / ash / cottonwood",60,69.52723221,2.560844682,700,31.94252975,34.51043975,29.37461975,37.58470246
"Elm / ash / cottonwood",70,77.62332561,3.842986727,700,33.50485779,36.30912073,30.70059485,44.11846782
"Elm / ash / cottonwood",80,73.83680603,3.390620433,700,38.09180381,41.39275127,34.79085634,35.74500222
"Elm / ash / cottonwood",90,78.90542628,5.122775654,700,41.45108646,45.72084981,37.1813231,37.45433982
"Elm / ash / cottonwood",100,78.9733023,6.981471188,700,44.19236327,49.18042146,39.20430507,34.78093903
"Elm / ash / cottonwood",110,70.68532184,5.555118953,700,44.7044946,50.92772712,38.48126207,25.98082724
"Elm / ash / cottonwood",120,74.29394392,5.971362755,700,62.7472004,71.72147722,53.77292358,11.54674352
"Elm / ash / cottonwood",130,54.65302303,9.005878158,700,53.11665175,62.70363941,43.52966408,1.53637128
"Elm / ash / cottonwood",140,72.46609093,10.07243762,700,65.90467664,79.24211526,52.56723802,6.56141428999999
"Elm / ash / cottonwood",150,67.11348539,4.4642619,700,NA,NA,NA,NA
"Elm / ash / cottonwood",160,87.83872094,25.0917319,700,66.69848875,81.11654251,52.28043499,21.14023219
"Elm / ash / cottonwood",170,37.38949779,1.279458188,700,55.56163503,76.52660029,34.59666978,-18.17213724
"Elm / ash / cottonwood",190,67.21908125,19.39477006,700,NA,NA,NA,NA
"Elm / ash / cottonwood",NA,74.30150175,14.68810687,700,NA,NA,NA,NA
"Exotic hardwoods",0,16.81082948,0.986341325,990,5.88673267,10.15165158,1.621813759,10.92409681
"Exotic hardwoods",10,22.68330508,1.792828702,990,12.60889373,16.27360171,8.944185741,10.07441135
"Exotic hardwoods",20,32.71358692,2.706387696,990,14.69107392,19.71754287,9.664604965,18.022513
"Exotic hardwoods",30,36.92270244,4.140348624,990,21.93035201,28.34530546,15.51539856,14.99235043
"Exotic hardwoods",40,40.10854705,4.665003773,990,19.23363406,26.2923427,12.17492542,20.87491299
"Exotic hardwoods",50,52.0678024,11.92604418,990,31.6205506,41.44913642,21.79196477,20.4472518
"Exotic hardwoods",60,49.59138404,8.037895645,990,27.45182998,39.44802754,15.45563242,22.13955406
"Exotic hardwoods",70,69.16094575,18.48222169,990,NA,NA,NA,NA
"Exotic hardwoods",80,50.93433705,10.21129456,990,38.01036119,58.21857689,17.80214548,12.92397586
"Exotic hardwoods",90,103.0154934,1.42e-14,990,NA,NA,NA,NA
"Exotic hardwoods",110,41.54908098,0,990,NA,NA,NA,NA
"Exotic hardwoods",NA,11.60291587,0,990,NA,NA,NA,NA
"Exotic softwoods",0,15.3877983,0.717761401,380,NA,NA,NA,NA
"Exotic softwoods",10,34.64085957,5.728681429,380,15.89304197,27.47960699,4.306476952,18.7478176
"Exotic softwoods",20,33.30370152,5.445291646,380,29.88411289,38.1617389,21.60648689,3.41958863
"Exotic softwoods",30,57.85329936,3.768485304,380,45.72545008,55.92646696,35.5244332,12.12784928
"Exotic softwoods",40,43.91491003,3.335589012,380,38.13106095,49.81055053,26.45157136,5.78384908
"Exotic softwoods",50,59.07500484,6.760161026,380,46.23371403,58.63432859,33.83309946,12.84129081
"Exotic softwoods",60,97.90006641,7.844995244,380,42.93618531,60.64930638,25.22306424,54.9638811
"Exotic softwoods",70,115.4312159,7.934983461,380,59.17467972,77.68992412,40.65943532,56.25653618
"Exotic softwoods",80,123.2054089,11.44907228,380,67.56259482,85.73902708,49.38616257,55.64281408
"Exotic softwoods",90,52.48725877,1.096728274,380,NA,NA,NA,NA
"Exotic softwoods",100,136.8928961,0,380,NA,NA,NA,NA
"Fir / spruce / mountain hemlock",0,56.19885287,3.958111621,260,1.828721345,4.985127463,-1.327684773,54.370131525
"Fir / spruce / mountain hemlock",10,51.01468591,1.998635005,260,12.16615961,14.68184763,9.650471583,38.8485263
"Fir / spruce / mountain hemlock",20,52.03422874,2.647839101,260,18.9339039,21.60861308,16.25919472,33.10032484
"Fir / spruce / mountain hemlock",30,59.1985089,4.065952171,260,19.50963083,22.56206052,16.45720114,39.68887807
"Fir / spruce / mountain hemlock",40,73.31263209,4.481604238,260,26.7912628,30.30237246,23.28015314,46.52136929
"Fir / spruce / mountain hemlock",50,87.92844639,6.108957843,260,39.0476826,42.47909126,35.61627393,48.88076379
"Fir / spruce / mountain hemlock",60,83.74543204,4.812162889,260,54.66500052,58.16836696,51.16163409,29.08043152
"Fir / spruce / mountain hemlock",70,115.995783,8.470749657,260,60.26605956,63.59601053,56.93610859,55.72972344
"Fir / spruce / mountain hemlock",80,105.8869563,4.315244534,260,62.68392196,65.82593974,59.54190418,43.20303434
"Fir / spruce / mountain hemlock",90,110.0266582,4.136790656,260,70.28393682,73.38748749,67.18038615,39.74272138
"Fir / spruce / mountain hemlock",100,125.5389413,4.655891921,260,77.95400355,81.04744399,74.8605631,47.58493775
"Fir / spruce / mountain hemlock",110,119.7102586,4.073687669,260,81.48771136,84.68696565,78.28845708,38.22254724
"Fir / spruce / mountain hemlock",120,120.8909461,5.908967495,260,83.64525708,87.07662132,80.21389284,37.24568902
"Fir / spruce / mountain hemlock",130,122.9459919,4.20336858,260,88.80780159,92.40187489,85.21372829,34.13819031
"Fir / spruce / mountain hemlock",140,121.4935032,5.51127299,260,90.02809418,93.99308776,86.06310059,31.46540902
"Fir / spruce / mountain hemlock",150,128.7122822,8.939732093,260,99.39577416,103.7979173,94.993631,29.31650804
"Fir / spruce / mountain hemlock",160,149.3378534,6.301108026,260,101.6303745,106.1392766,97.12147248,47.7074789
"Fir / spruce / mountain hemlock",170,149.6897356,9.847499253,260,106.8005607,111.7862695,101.814852,42.8891749
"Fir / spruce / mountain hemlock",180,155.9988007,11.0499007,260,113.0406393,118.2418185,107.8394601,42.9581614
"Fir / spruce / mountain hemlock",190,152.7964472,8.832584264,260,115.9576764,121.8385287,110.0768241,36.8387708
"Fir / spruce / mountain hemlock",200,205.8792352,6.245689517,260,120.6326233,125.1022808,116.1629658,85.2466119
"Fir / spruce / mountain hemlock",NA,78.43105277,14.82737974,260,NA,NA,NA,NA
"Hemlock / Sitka spruce",0,47.24825451,1.981547714,300,2.561054317,5.656084515,-0.533975882,44.687200193
"Hemlock / Sitka spruce",10,57.14379701,3.723356863,300,16.95391111,20.88777643,13.02004579,40.1898859
"Hemlock / Sitka spruce",20,78.61326845,8.049593552,300,34.20271661,39.05434263,29.3510906,44.41055184
"Hemlock / Sitka spruce",30,150.4214713,13.58020379,300,44.36511134,50.91588355,37.81433913,106.05635996
"Hemlock / Sitka spruce",40,221.4707111,13.57488532,300,47.34018394,52.52521264,42.15515523,174.13052716
"Hemlock / Sitka spruce",50,219.947797,13.15942679,300,47.87423501,52.76136543,42.9871046,172.07356199
"Hemlock / Sitka spruce",60,219.4603946,21.8383844,300,53.23512716,58.43410106,48.03615326,166.22526744
"Hemlock / Sitka spruce",70,211.4575998,18.18479502,300,60.00680571,65.68147294,54.33213848,151.45079409
"Hemlock / Sitka spruce",80,230.4059418,21.64028458,300,67.39692268,72.98247903,61.81136632,163.00901912
"Hemlock / Sitka spruce",90,222.7359816,39.56209739,300,76.23549043,82.89583896,69.57514191,146.50049117
"Hemlock / Sitka spruce",100,194.759872,23.57257917,300,77.85405993,84.25908123,71.44903863,116.90581207
"Hemlock / Sitka spruce",110,250.0125768,35.34873435,300,81.67446064,88.37395146,74.97496982,168.33811616
"Hemlock / Sitka spruce",120,242.037776,30.05629232,300,78.62055387,85.2043516,72.03675614,163.41722213
"Hemlock / Sitka spruce",130,226.6772745,27.77519976,300,84.47888498,90.97776727,77.98000268,142.19838952
"Hemlock / Sitka spruce",140,236.6174745,20.23430592,300,90.44335197,98.99205928,81.89464466,146.17412253
"Hemlock / Sitka spruce",150,261.1857472,33.6779213,300,89.84056284,98.14038549,81.5407402,171.34518436
"Hemlock / Sitka spruce",160,221.1109311,17.65851419,300,88.9655781,101.0938217,76.83733455,132.145353
"Hemlock / Sitka spruce",170,319.1586718,25.79031111,300,100.8960054,111.3956355,90.39637524,218.2626664
"Hemlock / Sitka spruce",180,308.9207823,64.77093271,300,115.0065444,132.541661,97.4714278,193.9142379
"Hemlock / Sitka spruce",190,294.7540316,46.01603582,300,114.8094612,134.9379233,94.68099907,179.9445704
"Hemlock / Sitka spruce",200,363.1758673,11.84177445,300,123.0660118,134.6067273,111.5252964,240.1098555
"Hemlock / Sitka spruce",NA,22.46505888,1.427679221,300,NA,NA,NA,NA
"Loblolly / shortleaf pine",0,20.57602624,0.277999688,160,15.66126709,16.15004611,15.17248806,4.91475915
"Loblolly / shortleaf pine",10,57.0989216,0.513064459,160,27.19011346,27.75657715,26.62364977,29.90880814
"Loblolly / shortleaf pine",20,77.94610499,0.571781272,160,34.21745669,34.86462894,33.57028444,43.7286483
"Loblolly / shortleaf pine",30,90.38881562,0.849298346,160,38.37101592,39.10776942,37.63426241,52.0177997
"Loblolly / shortleaf pine",40,93.46624965,1.455162183,160,39.32080004,40.50964631,38.13195376,54.14544961
